Date;Day;MUC Total;Active Cases;MUC Recovered;Deaths (sum);MUC New Infections;Correction;RKI New Infections;Diff MUC RKI;Diff same day last week;Active Cases (change);Recovered (change);Death (change);MUC 7 day sum;RKI 7 day sum;DIFF 7DI;MUC 7 Day Incidence;RKI 7 Day Incidence;Official RKI 7D Inc;To 10;To 35;To 50;To 100;Test Pos Rate BY;Daily Tests BY;Daily Test BY Pos;Daily test avg 7 days;Beds;ICU;IMC;Diff 7 Day Incidence;Naive R(t) 4D;Naive R(t) 7D;Diff 7D DoD;Diff 7D WoW;Var Lab WoW;Active WoW;RKI Total;Diff Total;RKI 7D Diff last week;7D avg weekly chg;BAV 1st Vacc Total;BAV 2nd Vacc Total;BAV 3rd Vacc Total;BAV 4th Vacc Total;BAV 1st Vacc %;BAV 1st Vacc Day;BAV 1st Vacc Avg;BAV 1st Vacc 7D;BAV 2nd Vacc %;BAV 2nd Vacc Day;BAV 2nd Vacc Avg;BAV 2nd Vacc 7D;BAV 3rd Vacc %;BAV 3rd Vacc Day;BAV 3rd Vacc Avg;BAV 3rd Vacc 7D;BAV 4th Vacc %;BAV 4th Vacc Day;BAV 4th Vacc Avg;BAV 4th Vacc 7D;MUC 1st Vacc Total;MUC 1st Vacc Day;MUC 1st Vacc%;MUC 2nd Vacc Total;MUC 2nd Vacc Day;MUC 2nd Vacc%;MUC 3rd Vacc Total;MUC 3rd Vacc Day;MUC 3rd Vacc%;MUC 4th Vacc Total;MUC 4th Vacc Day;MUC 4th Vacc %;LGL 7D Hospital;Hospital Incidence;LGL ICU;IVENA Total;% 7D SUM of IVENA;YELLOW %;RED %;7D DIFF TOTAL;ICU to Total %
2020-02-28;Fri, 28;5;2;3;0;2;0;5;-3;;;;;;;;0,0;0,0;;147;518;741;1482;;;;;;;;;;;;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-02-29;Sat, 29;5;2;3;0;0;0;0;0;;0;0;0;2;5;;0,1;0,3;;144;515;738;1479;;;;;;;;;;;;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-01;Sun, 1;5;2;3;0;0;0;0;0;;0;0;0;2;5;;0,1;0,3;;144;515;738;1479;;;;;;;;;;;0 %;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-02;Mon, 2;8;5;3;0;3;0;3;0;;3;0;0;5;8;;0,3;0,5;;141;512;735;1476;;;;;;;;;;;60 %;;;;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-03;Tue, 3;9;6;3;0;1;0;1;0;;1;0;0;6;9;;0,4;0,6;;140;511;734;1475;;;;;;;;;;;13 %;;;;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-04;Wed, 4;12;9;3;0;3;0;3;0;;3;0;0;9;12;;0,6;0,8;;137;508;731;1472;;;;;;;;;;;33 %;;;;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-05;Thu, 5;14;11;3;0;2;0;2;0;;2;0;0;11;14;;0,7;0,9;;140;511;734;1475;;;;;;;;;;;17 %;;;;14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-06;Fri, 6;27;24;3;0;13;0;13;0;160,0 %;13;0;0;22;22;;1,5;1,5;;127;498;721;1462;;;;;;;;;;;57 %;;;;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-07;Sat, 7;27;24;3;0;0;0;0;0;;0;0;0;22;22;;1,5;1,5;;127;498;721;1462;;;;;;;;;2,59;;0 %;340,0 %;;22;27;0;17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-08;Sun, 8;27;24;3;0;0;0;0;0;;0;0;0;22;22;;1,5;1,5;;130;501;724;1465;;;;;;;;;2,35;;0 %;340,0 %;;22;27;0;17;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-09;Mon, 9;50;47;3;0;23;0;23;0;666,7 %;23;0;0;42;42;;2,8;2,8;;108;479;702;1443;;;;;;;;;2,51;2,70;91 %;425,0 %;;42;50;0;34;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-10;Tue, 10;81;78;3;0;31;0;31;0;3000,0 %;31;0;0;72;72;;4,9;4,9;;80;451;674;1415;;;;;;;;;2,77;2,75;71 %;700,0 %;;72;81;0;63;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-11;Wed, 11;103;100;3;0;22;0;23;-1;666,7 %;22;0;0;91;92;;6,1;6,2;;60;431;654;1395;;;;;;;;;3,26;3,11;28 %;666,7 %;;91;104;-1;80;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-12;Thu, 12;121;118;3;0;18;0;18;0;800,0 %;18;0;0;107;108;;7,2;7,3;;54;425;648;1389;;;;;;;;;3,93;3,49;17 %;671,4 %;;107;122;-1;94;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-13;Fri, 13;169;164;5;0;48;0;48;0;269,2 %;46;2;0;142;143;;9,6;9,6;;6;377;600;1341;;;;;;;;;3,84;3,50;32 %;550,0 %;;140;170;-1;121;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-14;Sat, 14;233;228;5;0;64;0;64;0;;64;0;0;206;207;;13,9;13,9;;-58;313;536;1277;;;;;;;;;3,48;3,33;45 %;840,9 %;;204;234;-1;185;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-15;Sun, 15;252;247;5;0;19;0;19;0;;19;0;0;225;226;;15,2;15,2;;-54;317;540;1281;;;;;;;;;3,00;3,11;9 %;927,3 %;;223;253;-1;204;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-16;Mon, 16;319;311;8;0;67;0;67;0;191,3 %;64;3;0;269;270;;18,1;18,2;;-90;281;504;1245;;;;;;;;;2,69;2,94;19 %;542,9 %;;264;320;-1;228;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-17;Tue, 17;463;454;9;0;144;0;144;0;364,5 %;143;1;0;382;383;;25,7;25,8;;-211;160;383;1124;;;;;;;;;2,62;2,85;42 %;431,9 %;;376;464;-1;311;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-18;Wed, 18;675;663;12;0;212;0;212;0;821,7 %;209;3;0;572;572;;38,5;38,5;;-405;-34;189;930;;;;;;;;;2,64;2,78;49 %;521,7 %;;563;676;-1;480;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
