Date;Day;MUC Total;Active Cases;MUC Recovered;Deaths (sum);MUC New Infections;Correction;RKI New Infections;Diff MUC RKI;Diff same day last week;Active Cases (change);Recovered (change);Death (change);Deaths 7D Sum;MUC 7 day sum;RKI 7 day sum;DIFF 7DI;MUC 7 Day Incidence;RKI 7 Day Incidence;Official RKI 7D Inc;To 10;To 35;To 50;To 100;Test Pos Rate BY;Daily Tests BY;Daily Test BY Pos;Daily test avg 7 days;Beds;IMC;ICU;SUM;Change over 7D;Diff 7 Day Incidence;Naive R(t) 4D;Naive R(t) 7D;Diff 7D DoD;Diff 7D WoW;Var Lab WoW;Active WoW;RKI Total;Diff Total;RKI 7D Diff last week;7D avg weekly chg;BAV 1st Vacc Total;BAV 2nd Vacc Total;BAV 3rd Vacc Total;BAV 4th Vacc Total;BAV 5th Vacc Total;BAV 6th Vacc Total;BAV 1st Vacc %;BAV 1st Vacc Day;BAV 1st Vacc Avg;BAV 1st Vacc 7D;BAV 2nd Vacc %;BAV 2nd Vacc Day;BAV 2nd Vacc Avg;BAV 2nd Vacc 7D;BAV 3rd Vacc %;BAV 3rd Vacc Day;BAV 3rd Vacc Avg;BAV 3rd Vacc 7D;BAV 4th Vacc %;BAV 4th Vacc Day;BAV 4th Vacc Avg;BAV 4th Vacc 7D;BAV 5th Vacc %;BAV 5th Vacc Day;BAV 5th Vacc Avg;BAV 5th Vacc 7D;BAV 6th Vacc %;BAV 6th Vacc Day;BAV 6th Vacc Avg;BAV 6th Vacc 7D;MUC 1st Vacc Total;MUC 1st Vacc Day;MUC 1st Vacc%;MUC 2nd Vacc Total;MUC 2nd Vacc Day;MUC 2nd Vacc%;MUC 3rd Vacc Total;MUC 3rd Vacc Day;MUC 3rd Vacc%;MUC 4th Vacc Total;MUC 4th Vacc Day;MUC 4th Vacc %;7D Hosp;7D Hosp Incidence;LGL ICU;IVENA Total;DIFF 7D Hosp;YELLOW %;RED %;7D DIFF TOTAL;ICU to Total %;7D Hosp Corrected;7D Hosp Inc Corr;R(t) LMU;7D Hosp Nowcast;Diff Hosp %;Unreported factor Hosp;IVENA minus ICU;BAV Ventilator;BAV Vent DIFF;BAV Norm DIFF;BAV Total DIFF;BAV Inc corrected
2020-02-28;Fri, 28;5;5;;0;2;0;5;-3;;;;;;;;;0,0;0,0;;147;518;741;1482;;;;;;;;;;;;;;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;0,00 %;;;;0;0,00;;;;;;;;;;
2020-02-29;Sat, 29;5;5;;0;0;0;0;0;;0;0;0;;2;5;;0,1;0,3;;144;515;738;1479;;;;;;;;;;;;;;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;0,33 %;;;;4;0,03;;;;;;;;;;
2020-03-01;Sun, 1;5;5;;0;0;0;0;0;;0;0;0;;2;5;;0,1;0,3;;144;515;738;1479;;;;;;;;;;;;;0 %;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;0,42 %;;;;5;0,04;;;;;;;;;;
2020-03-02;Mon, 2;8;8;;0;3;0;3;0;;3;0;0;;5;8;;0,3;0,5;;141;512;735;1476;;;;;;;;;;;;;60 %;;;;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;0,83 %;;;;10;0,08;;;;;;;;;;
2020-03-03;Tue, 3;9;9;;0;1;0;1;0;;1;0;0;;6;9;;0,4;0,6;;140;511;734;1475;;;;;;;;;;;;;13 %;;;;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;1,00 %;;;;12;0,09;;;;;;;;;;
2020-03-04;Wed, 4;12;12;;0;3;0;3;0;;3;0;0;;9;12;;0,6;0,8;;137;508;731;1472;;;;;;;;;;;;;33 %;;;;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;1,33 %;;;;16;0,12;;;;;;;;;;
2020-03-05;Thu, 5;14;14;;0;2;0;2;0;;2;0;0;;11;14;;0,7;0,9;;140;511;734;1475;;;;;;;;;;;;;17 %;;;;14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;1,83 %;;;;22;0,17;;59;268,2 %;;;;;;;
2020-03-06;Fri, 6;27;27;;0;13;0;13;0;160,0 %;13;0;0;0;22;22;;1,5;1,5;;127;498;721;1462;;;;;;;;;;;;;57 %;;;;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;4,00 %;;;;48;0,37;;76;158,3 %;;;;;;;
2020-03-07;Sat, 7;27;27;;0;0;0;0;0;0,0 %;0;0;0;0;22;22;;1,5;1,5;;127;498;721;1462;;;;;;;;;;;2,59;;0 %;340,0 %;;22;27;0;17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;4,25 %;;;;51;0,39;;97;190,2 %;;;;;;;
2020-03-08;Sun, 8;27;27;;0;0;0;0;0;0,0 %;0;0;0;0;22;22;;1,5;1,5;;130;501;724;1465;;;;;;;;;;;2,35;;0 %;340,0 %;;22;27;0;17;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;4,33 %;;;;52;0,40;6,15;103;198,1 %;;;;;;;
